device,timestamp,target_ip,target_name,latency_ms,success,tipo_ping
OLT Punto Rojo 1,2025-08-21T02:28:12.978024,138.59.18.180,SUTEL Local,5.047321319580078,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:29:13.043492,138.59.18.180,SUTEL Local,5.347251892089844,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:30:13.103556,138.59.18.180,SUTEL Local,3.298044204711914,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:31:13.163832,138.59.18.180,SUTEL Local,5.106687545776367,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:32:13.218472,138.59.18.180,SUTEL Local,4.80341911315918,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:33:13.288581,138.59.18.180,SUTEL Local,4.891633987426758,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:34:13.351902,138.59.18.180,SUTEL Local,4.96220588684082,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:35:13.401740,138.59.18.180,SUTEL Local,4.904985427856445,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:36:13.459348,138.59.18.180,SUTEL Local,4.164934158325195,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:37:13.514751,138.59.18.180,SUTEL Local,5.242586135864258,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:38:13.570742,138.59.18.180,SUTEL Local,5.076169967651367,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:39:13.627223,138.59.18.180,SUTEL Local,4.823207855224609,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:40:13.685042,138.59.18.180,SUTEL Local,5.096673965454102,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:41:13.744647,138.59.18.180,SUTEL Local,4.837751388549805,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:42:13.809042,138.59.18.180,SUTEL Local,4.308223724365234,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:43:13.863305,138.59.18.180,SUTEL Local,4.954338073730469,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:44:13.920739,138.59.18.180,SUTEL Local,5.456686019897461,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:45:13.976565,138.59.18.180,SUTEL Local,5.214452743530273,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:46:14.043007,138.59.18.180,SUTEL Local,4.737377166748047,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:47:14.099502,138.59.18.180,SUTEL Local,5.227327346801758,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:48:14.160466,138.59.18.180,SUTEL Local,5.196809768676758,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:49:14.224077,138.59.18.180,SUTEL Local,5.129337310791016,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:50:14.285971,138.59.18.180,SUTEL Local,5.122184753417969,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:51:14.346400,138.59.18.180,SUTEL Local,4.719018936157227,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:52:19.374039,138.59.18.180,SUTEL Local,4.942655563354492,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:53:19.438709,138.59.18.180,SUTEL Local,4.89044189453125,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:54:19.499107,138.59.18.180,SUTEL Local,3.7305355072021484,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:55:19.558813,138.59.18.180,SUTEL Local,5.125999450683594,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:56:19.617508,138.59.18.180,SUTEL Local,4.860639572143555,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:57:19.670351,138.59.18.180,SUTEL Local,5.287408828735352,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:58:19.725124,138.59.18.180,SUTEL Local,5.353450775146484,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T02:59:24.737569,138.59.18.180,SUTEL Local,5.113840103149414,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:00:24.794198,138.59.18.180,SUTEL Local,5.2471160888671875,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:01:24.861310,138.59.18.180,SUTEL Local,5.143165588378906,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:02:29.881427,138.59.18.180,SUTEL Local,5.277395248413086,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:03:29.935450,138.59.18.180,SUTEL Local,5.096197128295898,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:04:30.000529,138.59.18.180,SUTEL Local,5.592584609985352,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:05:30.059183,138.59.18.180,SUTEL Local,5.078315734863281,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:06:30.122227,138.59.18.180,SUTEL Local,4.767894744873047,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:07:30.174695,138.59.18.180,SUTEL Local,5.197286605834961,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:08:30.231161,138.59.18.180,SUTEL Local,5.237579345703125,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:09:30.286340,138.59.18.180,SUTEL Local,4.9304962158203125,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:10:30.357487,138.59.18.180,SUTEL Local,4.575014114379883,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:11:30.414126,138.59.18.180,SUTEL Local,4.505634307861328,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:12:30.474904,138.59.18.180,SUTEL Local,4.5166015625,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:13:30.531477,138.59.18.180,SUTEL Local,5.469799041748047,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:14:35.553066,138.59.18.180,SUTEL Local,4.884004592895508,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:15:35.603446,138.59.18.180,SUTEL Local,5.391359329223633,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:16:35.669080,138.59.18.180,SUTEL Local,4.966497421264648,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:17:40.676886,138.59.18.180,SUTEL Local,5.455493927001953,True,Ping SUTEL Local Costa Rica
OLT Punto Rojo 1,2025-08-21T03:18:40.727026,138.59.18.180,SUTEL Local,5.084991455078125,True,Ping SUTEL Local Costa Rica
