timestamp,server_id,server_name,server_country,server_sponsor,ping_ms,download_mbps,upload_mbps,bytes_sent,bytes_received,client_ip,client_isp
2025-08-20T17:25:32.261567,18204,San José,Costa Rica,Telecable S.A.,43.212,150.77904052945067,162.36835462695097,151519232,192736588,200.105.101.10,Telecable Economico S.A.
2025-08-20T17:26:03.386003,18204,San José,Costa Rica,Telecable S.A.,26.419,105.44524278876119,58.84017500206362,75300864,134850842,200.105.101.10,Telecable Economico S.A.
2025-08-20T17:26:07.580802,18204,San José,Costa Rica,Telecable S.A.,21.755,90.39334977711857,112.23811990107505,140369920,116180368,200.105.101.10,Telecable Economico S.A.
2025-08-20T17:27:51.094370,18204,San José,Costa Rica,Telecable S.A.,18.111,138.82736316762794,150.65780269696165,151519232,177337980,200.105.101.10,Telecable Economico S.A.
2025-08-20T17:43:46.156537,18204,San José,Costa Rica,Telecable S.A.,21.543,175.9567695712222,128.26312222754078,151519232,227101244,200.105.101.10,Telecable Economico S.A.
2025-08-20T17:44:18.974017,46808,Escazú,Costa Rica,Ufinet,24.038,169.476349618076,140.4344071964214,151519232,216396163,200.105.101.10,Telecable Economico S.A.
2025-08-20T17:47:53.486689,18204,San José,Costa Rica,Telecable S.A.,21.426,211.16068121234693,172.46334438099524,151519232,269290828,200.105.101.10,Telecable Economico S.A.
2025-08-20T17:48:25.528906,45868,San José,Costa Rica,EdgeUno,18.543,173.11609764537386,171.4488879260441,151519232,222779964,200.105.101.10,Telecable Economico S.A.
2025-08-20T17:49:47.993636,18204,San José,Costa Rica,Telecable S.A.,22.474,203.08781159557512,165.955327015294,151519232,258942433,200.105.101.10,Telecable Economico S.A.
2025-08-20T17:50:18.593044,18204,San José,Costa Rica,Telecable S.A.,20.919,208.66147175681465,182.48017857701277,151519232,266549331,200.105.101.10,Telecable Economico S.A.
2025-08-20T17:55:50.398605,18204,San José,Costa Rica,Telecable S.A.,30.799,152.11051638676494,132.7366130028285,151519232,194561660,200.105.101.10,Telecable Economico S.A.
2025-08-20T17:56:22.587827,45868,San José,Costa Rica,EdgeUno,23.183,216.58796229920654,152.05472121049914,151519232,277333473,200.105.101.10,Telecable Economico S.A.
2025-08-20T17:57:12.936511,18204,San José,Costa Rica,Telecable S.A.,20.562,168.3735529844841,151.45021613991796,151519232,215632444,200.105.101.10,Telecable Economico S.A.
2025-08-20T18:01:52.905120,18204,San José,Costa Rica,Telecable S.A.,20.591,174.14742573995557,147.8559114266079,151519232,222366867,200.105.101.10,Telecable Economico S.A.
2025-08-20T18:02:27.193432,46808,Escazú,Costa Rica,Ufinet,20.131,110.88813551523113,100.42100973968866,125665280,143995162,200.105.101.10,Telecable Economico S.A.
2025-08-20T18:07:56.663093,18204,San José,Costa Rica,Telecable S.A.,23.416,233.7933710188404,166.31674689610819,151519232,300195148,200.105.101.10,Telecable Economico S.A.
2025-08-20T18:08:30.393528,18204,San José,Costa Rica,Telecable S.A.,20.452,181.08724829553023,124.53522572218787,151519232,231647804,200.105.101.10,Telecable Economico S.A.
2025-08-20T18:14:02.062147,18204,San José,Costa Rica,Telecable S.A.,26.212,152.50737964230953,135.32538906684522,151519232,195317852,200.105.101.10,Telecable Economico S.A.
2025-08-20T18:14:37.326686,46808,Escazú,Costa Rica,Ufinet,27.217,142.979115213538,129.55925282704365,151519232,184197996,200.105.101.10,Telecable Economico S.A.
2025-08-20T18:42:52.254991,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San JosÃ©,3.201,215.96028,436.629432,210058902,614709473,,,,,Telecable Costa Rica,200.105.101.10,adc8ac25-6991-4c5d-8be5-03c34a25022e,https://www.speedtest.net/result/c/adc8ac25-6991-4c5d-8be5-03c34a25022e,official
2025-08-20T18:44:03.114022,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",43.562,232.243,397.080968,284803944,673565193,,,,,Telecable Costa Rica,200.105.101.10,742154e8-d8a7-4b91-8b37-5f876bbe868a,https://www.speedtest.net/result/c/742154e8-d8a7-4b91-8b37-5f876bbe868a,official
2025-08-20T18:51:00.438099,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",74.641,270.154136,437.24756,429013172,770394296,,,,,Telecable Costa Rica,200.105.101.10,3e608fb8-00a9-4920-b47a-0c331e8d0d47,https://www.speedtest.net/result/c/3e608fb8-00a9-4920-b47a-0c331e8d0d47,official
2025-08-20T18:55:19.677670,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San JosÃ©,4.46,243.607112,381.80896,399337740,546821199,,,,,Telecable Costa Rica,200.105.101.10,82b728dd-15a2-419e-acb7-1341cac0640a,https://www.speedtest.net/result/c/82b728dd-15a2-419e-acb7-1341cac0640a,official
2025-08-20T18:55:57.186921,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",41.492,244.504504,181.337832,429875276,223908957,,,,,Telecable Costa Rica,200.105.101.10,4325b6c9-1c1a-4544-bf77-9ad6c2d2df7a,https://www.speedtest.net/result/c/4325b6c9-1c1a-4544-bf77-9ad6c2d2df7a,official
2025-08-20T22:18:12.849927,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.665,152.260944,122.637728,229671824,171700346,,,,,Telecable Costa Rica,190.113.114.238,5e20a1cf-d428-4006-97a8-7aa1b5d1c075,https://www.speedtest.net/result/c/5e20a1cf-d428-4006-97a8-7aa1b5d1c075,official
