device,timestamp,server_id,server_name,server_country,server_sponsor,server_host,server_location,ping_ms,download_mbps,upload_mbps,download_bytes,upload_bytes,bytes_sent,bytes_received,client_ip,client_isp,isp,interface_external_ip,result_id,result_url,cli_type
OLT Punto Rojo 1,2025-08-21T01:39:21.763020,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,15.751,165.509088,134.85384,273412620,72225699,,,,,Telecable Costa Rica,190.113.114.238,846e9e10-d8ef-48e5-8bb0-02c08e4cda58,https://www.speedtest.net/result/c/846e9e10-d8ef-48e5-8bb0-02c08e4cda58,official
OLT Punto Rojo 1,2025-08-21T01:39:53.711648,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.502,163.780848,142.492952,182252628,175866118,,,,,Telecable Costa Rica,190.113.114.238,31e5daf7-4d7e-46a2-9009-5833c72e9778,https://www.speedtest.net/result/c/31e5daf7-4d7e-46a2-9009-5833c72e9778,official
OLT Punto Rojo 1,2025-08-21T01:47:21.672312,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.237,415.054256,440.690616,555540396,518876715,,,,,Telecable Economico,200.229.0.182,66dc16ca-8ad3-4618-b92f-5221b916e4a4,https://www.speedtest.net/result/c/66dc16ca-8ad3-4618-b92f-5221b916e4a4,official
OLT Punto Rojo 1,2025-08-21T01:47:55.598628,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",39.013,16.159664,433.693648,20602492,597761063,,,,,Telecable Economico,200.229.0.182,4468b573-88c6-4c95-acb2-212f4cf06c7f,https://www.speedtest.net/result/c/4468b573-88c6-4c95-acb2-212f4cf06c7f,official
