timestamp,server_id,server_name,server_country,server_sponsor,server_host,server_location,ping_ms,download_mbps,upload_mbps,download_bytes,upload_bytes,bytes_sent,bytes_received,client_ip,client_isp,isp,interface_external_ip,result_id,result_url,cli_type
2025-08-20T23:06:19.163247,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.078,413.633776,443.44316,533679520,567004661,,,,,Telecable Costa Rica,200.105.99.72,5d2e68b1-10db-4dcf-8a7b-6cd6234888df,https://www.speedtest.net/result/c/5d2e68b1-10db-4dcf-8a7b-6cd6234888df,official
2025-08-20T23:06:53.617495,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.227,16.025336,399.225256,24801780,514769772,,,,,Telecable Costa Rica,200.105.99.72,3ece1d11-ab33-4436-9696-54a99e08bc3c,https://www.speedtest.net/result/c/3ece1d11-ab33-4436-9696-54a99e08bc3c,official
2025-08-20T23:12:26.082495,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,2.845,407.906232,441.456712,555327476,573129749,,,,,Telecable Costa Rica,200.105.99.72,0cfddd34-e2ca-4f1c-8aec-a859eb4bf298,https://www.speedtest.net/result/c/0cfddd34-e2ca-4f1c-8aec-a859eb4bf298,official
2025-08-20T23:13:01.705064,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.744,17.667704,415.431904,24193208,628146227,,,,,Telecable Costa Rica,200.105.99.72,369c73e2-8265-4f97-843b-3ea7caa946f3,https://www.speedtest.net/result/c/369c73e2-8265-4f97-843b-3ea7caa946f3,official
2025-08-20T23:18:33.228038,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,2.955,404.99328,442.689368,532369768,527552500,,,,,Telecable Costa Rica,200.105.99.72,25db6135-05c1-4719-ba08-37d628b075e3,https://www.speedtest.net/result/c/25db6135-05c1-4719-ba08-37d628b075e3,official
2025-08-20T23:19:06.519651,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.26,13.29076,436.767928,14117176,670598387,,,,,Telecable Costa Rica,200.105.99.72,e05dc2d8-0361-46ee-9af1-062dc9884263,https://www.speedtest.net/result/c/e05dc2d8-0361-46ee-9af1-062dc9884263,official
2025-08-20T23:24:36.827898,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,3.23,406.165296,443.527072,511235780,518160993,,,,,Telecable Costa Rica,200.105.99.72,1b9b631e-f08d-4dd2-a8b4-610e85b9e795,https://www.speedtest.net/result/c/1b9b631e-f08d-4dd2-a8b4-610e85b9e795,official
2025-08-20T23:25:09.108197,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.229,19.00428,417.820784,16122216,562322751,,,,,Telecable Costa Rica,200.105.99.72,24755715-835b-4725-b72c-6cc6b86c8980,https://www.speedtest.net/result/c/24755715-835b-4725-b72c-6cc6b86c8980,official
2025-08-20T23:30:41.183262,18204,Telecable S.A.,Costa Rica,,speedtest.telecablecr.com,San Jos̩,2.915,413.101,443.747488,562407536,574229565,,,,,Telecable Costa Rica,200.105.99.72,a1dd44d3-134f-49e2-bf50-3fac955563c1,https://www.speedtest.net/result/c/a1dd44d3-134f-49e2-bf50-3fac955563c1,official
2025-08-20T23:31:16.717563,17639,Telecable S.A.,United States,,speedtestmiami.telecablecr.com,"Miami, FL",40.141,25.026544,422.336304,40123392,443767914,,,,,Telecable Costa Rica,200.105.99.72,686fe331-3a01-430f-8a0f-1eaf0345e4bc,https://www.speedtest.net/result/c/686fe331-3a01-430f-8a0f-1eaf0345e4bc,official
